Chapter,Kind,Question,Answer
"בראשית ל""ט',י""ב'‏",זהה את האישים,בעל החלומות?,אשת פוטיפר.
"בראשית מ""א',ח'.‏",זהה את האישים,תפשה אותו בבגדו?,פרעה.
"בראשית ל""ה',ח'.‏",זהה את האישים,ותפעם רוחו?,דבורה.
"בראשית כ""ט',כ""ב'‏",זהה את האישים,מניקת רבקה?,לבן.
"בראשית ל""ו',י""ב'.‏",זהה את האישים,אסף את כל אנשי מקומו ועשה משתה?,תמנע.
"בראשית מ""א',ט'.‏",זהה את האישים,הייתה פילגש לאליפז בן עשו?,שר המשקים.
"בראשית כ""א',ל""ב'‏",זהה את האישים,הזכיר את חטאיו?,אבימלך.
"בראשית י""ח',י""ב'.‏",זהה את האישים,כרת ברית עם יצחק?,שרה.
"בראשית כ""ט',ט'.‏",זהה את האישים,צחקה בקרבה?,רחל.
"בראשית י""ג',י""ב-‏
י""ג'.‏",זהה את האישים,רעתה את                                                                        צאן אביה?,לוט.
"בראשית י""ד',י""ג'.‏",זהה את האישים,ישב בין אנשים רעים וחטאים?,הפליט.
"בראשית כ""ו',י""ט'.‏",זהה את האישים,ספר לאברהם שלוט בן אחיו נלקח בשבי?,עבדי יצחק.
"בראשית כ""ח',כ'.‏",זהה את האישים,מצאו באר מים חיים?,יעקב.
"בראשית ל',ז'.‏",זהה את האישים,נדר נדר?,בלהה.
"בראשית ל',י'.‏",זהה את האישים,שפחת רחל?,זלפה.
"בראשית מ""א',נ'.‏",זהה את האישים,יצאה לראות בבנות הארץ?,אסנת.
"בראשית ל""ז',כ""א'‏",זהה את האישים,בתו של כהן און?,ראובן.
"בראשית מ',כ""ב'.‏",זהה את האישים,רצה להציל את אחיו?,שר המשקים.
"בראשית כ',ט'.‏",מי אמר למי,אשה יפת מראה את?,אבימלך לאברהם.
"בראשית כ',י""ב'.‏",מי אמר למי,אם מחוט ועד שרוך נעל?,אברהם לאבימלך.
"בראשית ט""ו',ב'.‏",מי אמר למי,קומו צאו מן המקום הזה?,אברהם לה'.
"בראשית י""ג',ח'.‏",מי אמר למי,למה לא הגדת לי כי אשתך היא?,אברהם ללוט.
"בראשית י""ד',כ""ג'.‏",מי אמר למי,תן לי הנפש והרכוש קח לך?,אברהם למלך סדום.
"בראשית כ""ב',ה'.‏",מי אמר למי,אי מזה באת ואנה תלכי?,אברהם לנעריו.
"בראשית י""ב',י""א'.‏",מי אמר למי,לך לך מארצך וממולדתך ומבית אביך?,אברהם לשרה.
"בראשית י""ב',א'.‏",מי אמר למי,שמען קולי האזנה אמרתי?,ה' לאברהם.
"בראשית כ""ח',ט""ו'‏",מי אמר למי,הל                                                                 א אצלת לי ברכה?,ה' ליעקב.
"בראשית ד',ו'.‏",מי אמר למי,פרעה שאל את יעקב כמה ימי שני חייך?,ה' לקין.
"בראשית מ""ז',ט""ו'‏",מי אמר למי,אלקים יחנך בני?,המצרים ליוסף.
"בראשית ל""ד',כ""א'.‏",מי אמר למי,הבה לי בנים?,חמור ושכם בנו לבני עירם.
"בראשית מ""ב',ט""ו'‏",מי אמר למי,אין נבון וחכם כמוך?,יוסף לאחיו.
"בראשית מ""ג',ט""ז'.‏",מי אמר למי,למה הרעותם לי?,יוסף לאשר על ביתו.
"בראשית מ""ג',כ""ט'‏",מי אמר למי,וטבח טבח והכן?,יוסף לבנימין.
"בראשית מ""ג',ו'.‏",מי אמר למי,בזאת תבחנו?,יעקב לבניו.
"בראשית מ""ח',י""ט'‏",מי אמר למי,למה נמות נגדך?,יעקב ליוסף.
"בראשית מ""ז',ט'.‏",מי אמר למי,ידעתי בני ידעתי?,יעקב לפרעה.
"בראשית כ""ז',ב'.‏",מי אמר למי,למה תעמוד בחוץ?,יצחק לעשיו.
"בראשית כ""ז',כ'.‏",מי אמר למי,שמע בקולי לאשר אני מצווה אותך?,יצחק לעשיו.
"בראשית א',ב'.‏",נכון או לא נכון,לא זכר את יוסף?,נכון
"בראשית ד',כ""ו'.‏",נכון או לא נכון,זכר ונקבה ברא אותם נאמר על הבהמות וחיות השדה?,נכון
"בראשית ח',י""א'.‏",נכון או לא נכון,בימי אנוש הוחל לקרוא בשם השם?,נכון
"בראשית כ""א',י""ד'‏",נכון או לא נכון,תנור עשן ולפיד אש בהפיכת סדום ועמורה?,נכון
"בראשית כ""א',כ""ה‏",נכון או לא נכון,הגר תעתה במדבר באר שבע?,נכון
"בראשית ל""ב',כ""ה'‏",נכון או לא נכון,יצחק אמר לעשו גשה נא ואמושך בני?,נכון
"בראשית ל""ב',ל""ג'.‏",נכון או לא נכון,יעקב נאבק עם האיש עד זריחת השמש?,נכון
"בראשית ל""ב',כ""ה'‏",נכון או לא נכון,בני ישראל לא אוכלים את גיד הנשה?,נכון
"בראשית מ""ג',ל'.‏",נכון או לא נכון,יוסף הזכיר לאחיו את החלומות אשר חלם להם?,נכון
"בראשית מ""ג',ל""ב'‏",נכון או לא נכון,כאשר נכמרו רחמי יוסף אל אחיו הלך לבכות בחדרו?,נכון
"בראשית נ',כ""ג'.‏",נכון או לא נכון,יוסף השביע את פרעה להרשות לו לעלות לקבור את אביו?,נכון
"בראשית נ',כ""ו'.‏",נכון או לא נכון,יוסף ראה לאפרים בני שלשים?,נכון
"בראשית כ""ט',כ""ד'‏",נכון או לא נכון,רחל שמחה כשנולדו בנים ללאה אחותה?,נכון
"בראשית כ""ד',ל'.‏",נכון או לא נכון,יצחק אהב את עשו כיון שהוא היה יושב אוהלים?,נכון
"בראשית י""ט',ל""ד'‏",נכון או לא נכון,הגר תעתה במדבר יהודה?,נכון
"בראשית י""ט',כ""ג'.‏",נכון או לא נכון,בנות לוט השקו את אביהן יין?,נכון
"בראשית י""ד',י""ט'.‏",נכון או לא נכון,כל אנשי סדום הוכו בסנורים?,נכון
"בראשית מ""ז',ח'.‏",נכון או לא נכון,כנען היה בנו של נח?,נכון
"בראשית א',כ""א'-‏
כ""ג'.‏",נכון או לא נכון,האם אלקים נתן את המאורות ברקיע השמים כדי  להא           יר את השמים?,לא נכון
"בראשיתא',כ""ז'.‏",נכון או לא נכון,האם התנינים הגדולים נבראו ביום הששי?,לא נכון
"בראשית ט""ו',י'.‏",נכון או לא נכון,היונה שבה אל נח עם עלי זית בפיו?,לא נכון
"בראשית ט""ו',י""ז'.‏",נכון או לא נכון,ואת הצפור בתר?,לא נכון
"בראשית כ""ד',ל""ג'.‏",נכון או לא נכון,הוכיח אברהם את אבימלך על אודות באר המים?,לא נכון
"בראשית כ""ז',כ""א'‏",נכון או לא נכון,אליעזר אמר שלא ידבר עד שיגמור לאכול?,לא נכון
"בראשית מ""א',מ""ב'.‏",נכון או לא נכון,המילדת קשרה שני על ידו של זרח?,לא נכון
"בראשית מ""ב',ט'.‏",נכון או לא נכון,פרעה הסיר את כתרו מעל ראשו ושם אותו על ראש יוסף?,לא נכון
"בראשית מ""ה',כ""ב'.‏",נכון או לא נכון,המצרים אינם אוכלים עם העברים לחם כי תועבה היא למצרים?,לא נכון
"בראשית מ""ו',י""ז.‏",נכון או לא נכון,יוסף נתן חמש חליפות שמלות לכל אחד מאחיו?,לא נכון
"בראשית נ',ה'-ו'.‏",נכון או לא נכון,שם בתו                                                                 של נפתלי שרח?,לא נכון
"בראשית ל',א'.‏",נכון או לא נכון,חנטו את יוסף ושמו אותו בארון במצרים?,לא נכון
"בראשית כ""ה',כ""ח'.‏",נכון או לא נכון,זלפה הייתה שפחת לאה?,לא נכון
"בראשית כ""א',ל""ג'‏",נכון או לא נכון,אליעזר עמד על הגמלים על העין?,לא נכון
"בראשית כ""א',י""ד'‏",נכון או לא נכון,אברהם נטע אשל בחברון?,לא נכון
"בראשית י""ט',י""א'.‏",נכון או לא נכון,השמש יצא על הארץ כאשר לוט עזב                                        את סדום?,לא נכון
"בראשית ט',י""ח'.‏",נכון או לא נכון,ברכת מלכי צדק מלך שלם לאברהם ברוך אברם לאל עליון?,לא נכון
"בראשית כ""ד',ל""א'‏",מי אמר למי,כי הבאת עלי ועל ממלכתי חטאה גדולה?,לבן לאליעזר.
"בראשית כ""ד',ל""א'‏",מי אמר למי,שבו לכם פה עם החמור?,לבן לאליעזר.
"בראשית כ""ט',י""ט'‏",מי אמר למי,ושמרתיך בכל אשר תלך?,לבן ליעקב.
"בראשית י""ט',י""ד'.‏",מי אמר למי,ישפוט ה ביני וביניך?,לוט לחותניו.
"בראשית ד',כ""ג'.‏",מי אמר למי,גדול עווני מנשוא?,למך לנשיו.
"בראשית ט""ז',ח'.‏",מי אמר למי,מה תתן לי ואנכי הולך ערירי?,מלאך ה' להגר.
"בראשית י""ד',כ""א'‏",מי אמר למי,אנשים אחים אנחנו?,מלך סדום לאברהם.
"בראשית כ""ז',ל""ו'.‏",מי אמר למי,כי הקרה האלקיך לפני?,עשיו ליצחק.
"בראשית י""ב',י,ח'.‏",מי אמר למי,למה חרה לך ולמה נפלו פניך?,פרעה לאברהם.
"בראשית מ""א',ל""ט'.‏",מי אמר למי,האנשים האלה שלמים הם אתנו?,פרעה ליוסף.
"בראשית ד',י""ג'.‏",מי אמר למי,אותך ראיתי צדיק לפני בדור הזה?,קין לה'.
"בראשית כ""ז',ח'.‏",מי אמר למי,לא ידעתי יום                                                                  מותי?,רבקה ליעקב.
"בראשית ל',א'.‏",מי אמר למי,טוב תתי אותה לך מתתי אותה לאיש אחר?,רחל ליעקב.
"בראשית ט""ז',ה'.‏",מי אמר למי,אחותי בת אבי היא אך לא בת אמי?,שרה לאברהם.
"בראשית ה',כ""ד'‏",על מי/מה נאמר,מעט ורעים היו ימי שני חיי?,חנוך.
"בראשית ט',כ""ה'‏",על מי/מה נאמר,איננו כי לקח אותו אלקים?,כנען.
"בראשית י""ג', י""ג'‏",על מי/מה נאמר,עבד עבדים יהיה לאחיו?,אנשי סדום.
"בראשית ט""ז',י""ב'‏",על מי/מה נאמר,רעים וחטאים לה מאד?,ישמעאל.
"בראשית ט',ג'‏",על מי/מה נאמר,והוא יהיה פרא אדם?,בעלי החיים.
"בראשית ט',י""ג'‏",על מי/מה נאמר,כירק עשב נתתי לכם את כל?,הקשת בענן.
"בראשית ט',כ""א'‏",על מי/מה נאמר,והייתה לאות ברית ביני ובין הארץ?,נח.
"בראשית כ""ה',כ""ז'‏",על מי/מה נאמר,וישת מן היין וישכר?,יעקב.
"בראשית ל""ז',ג'‏",על מי/מה נאמר,איש תם יושב אוהלים?,יוסף.
"בראשית כ""ו',כ""ט'‏",על מי/מה נאמר,ויצוק עליה שמן?,יצחק.
"בראשית כ""ח',י""ב'‏",על מי/מה נאמר,אתה עתה ברוך ה?,סולם.
"בראשית כ""ט',ל""א'-‏
ל""ג'‏",על מי/מה נאמר,מוצב ארצה וראשו מגיע השמימה?,לאה.
"בראשית ל""ג',י'‏",על מי/מה נאמר,שנואה?,עשיו.
"בראשית ל""ד',ב'.‏",על מי/מה נאמר,כי על כן ראיתי פניך כראות פני אלקים ותרצני?,שכם.
"בראשית כ""ח',י""ז'‏",על מי/מה נאמר,נשיא הארץ?,בית אלקים.
"בראשית מ',י""ג'‏",על מי/מה נאמר,מה נורא המקום הזה?,שר המשקים.
"בראשית מ""א',מ""ט'‏",על מי/מה נאמר,והשיבך על כנך?,בר.
"בראשית מ',י'‏",על מי/מה נאמר,כחול הים הרבה מ אד עד כי חדל לספור כי אין מספר?,גפן.
"בראשית מ',י""ז'‏",על מי/מה נאמר,והיא כפורחת עלתה נצה?,העוף.
"בראשית ב',ו'‏",על מי/מה נאמר,אוכל אותם מן הסל מעל ראשי?,אד.
"בראשית ג',י""ח'‏",על מי/מה נאמר,יעלה מן הארץ והשקה את כל פני האדמה?,האדמה.
"בראשית ו',ט""ז'‏",על מי/מה נאמר,וקוץ ודרדר תצמיח לך?,תבה.
"בראשית ט',כ""ז'‏",על מי/מה נאמר,תחתיים שניים ושלישים תעשה?,יפת.
"בראשית י',כ""ה‏",על מי/מה נאמר,וישכון באהלי שם?,פלג.
"בראשית י""א',ו'‏",על מי/מה נאמר,בימיו נפלגה?,דור הפלגה.
"בראשית י""ב',י""ד‏",על מי/מה נאמר,עם אחד ושפה אחת לכלם?,שרה.
"בראשית י""ג',י'‏",על מי/מה נאמר,יפה היא מאד?,סדום.
"בראשית ט""ו',ב'‏",על מי/מה נאמר,כגן ה כארץ מצרים?,אליעזר.
"בראשית י""ט',ט'‏",על מי/מה נאמר,בן משק ביתי?,אנשי סדום.
"בראשית כ""ד',ס'‏",על מי/מה נאמר,האחד בא לגור וישפוט שפוט?,רבקה.
"בראשית ל""א',ז'‏",על מי/מה נאמר,אחותנו את היי לאלפי רבבה?,לבן.
"בראשית ל""ב',כ""ט'‏",על מי/מה נאמר,החליף את משכורתי עש                                                  רת מונים?,ישראל.
"בראשית מ""ד', ה'‏",על מי/מה נאמר,כי שרית עם אלקים ועם אנשים ותוכל?,גביע הכסף.
